radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
ILTJ000012.37+291113.0,,0.051519,29.187479,1.478,0.427,0.7,0.067,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J000021.05+205657.5,0.087721,20.949331,0.27101,3e-05,1.618,0.026,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ000043.29+193258.8,,0.181462,19.551216,1.075,0.106,1.406,0.057,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J000043.82+121608.3,0.182583,12.268975,0.224,0.0113,2.125,0.086,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ000050.07+281125.4,,0.206601,28.197147,0.526,0.05,0.99,0.063,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000057.03+263731.2,,0.239319,26.623834,0.737,0.132,1.778,0.136,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000104.16+273449.7,,0.266126,27.582283,0.53872,0.0001,1.303,0.039,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000106.61+342757.2,J000105.61+342756.7,0.273409,34.465758,0.24738,4e-05,1.033,0.024,Oei et al. 2022,2022-10-24,Mostert & Oei et al. 2024
ILTJ000107.51+235248.4,,0.28152,23.87971,0.45942,2e-05,0.829,0.036,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000128.35+321506.9,,0.3713,32.250189,0.653,0.134,0.889,0.095,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000142.39+260609.3,,0.427086,26.102713,0.528,0.038,0.918,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000143.85+172608.7,,0.433717,17.435297,0.879,0.094,0.97,0.057,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000146.93+211540.6,,0.446195,21.260894,0.692,0.06,0.78,0.052,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000147.83+272638.7,,0.448265,27.443767,0.808,0.05,0.702,0.049,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000153.46+335845.2,,0.471762,33.981515,0.2558,4e-05,0.838,0.025,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000154.33+211337.6,,0.477329,21.226103,0.957,0.116,0.817,0.055,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ000205.34+334404.0,,0.523538,33.73617,0.93,0.08,1.132,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ000206.09+330354.6,,0.524864,33.061545,0.945,0.19,1.729,0.116,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
