recno,Name,RAJ2000,DEJ2000,LengthMpc,e_LengthMpc,LengthAng,z,e_z,Ref,FistDisc
10511,,40.275764,8.737979,0.871,0.008,32.7,0.02121,0.00017,Oei et al. 2023,Oei et al. 2023
10358,,38.802856,10.19633,1.014,0.607,15.6,0.05384,0.0,Oei et al. 2023,Oei et al. 2023
10283,,48.697044,15.149883,1.067,0.505,12.7,0.07104,0.0,Oei et al. 2023,Oei et al. 2023
10938,,42.945,15.83694,0.918,0.0,2.46,0.489,0.0,Mahato et al. 2021,Mahato et al. 2021
10055,,43.804028,17.514114,1.295,0.441,11.6,0.09725,0.0,Oei et al. 2023,Oei et al. 2023
9618,,60.128278,13.156841,1.815,0.075,4.7,0.5222,0.0257,Oei et al. 2023,Oei et al. 2023
10518,,59.031086,13.819252,0.863,0.149,4.6,0.17945,0.0,Oei et al. 2023,Oei et al. 2023
10414,,48.748005,16.180998,0.957,0.216,6.2,0.14153,0.0,Oei et al. 2023,Oei et al. 2023
11486,,50.35795833333,18.10273333333,0.873,0.0,11.85,0.06155,0.0,Dabhade et al. 2020,Dabhade et al. 2020
8667,ILTJ020756.11+165745.1,31.9861233,16.96429532073,0.90418,0.13493,1.9854,0.761,0.108,ML (this work),ML (this work)
9827,,32.54401323171,17.64439743118,1.516,0.128,4.3,0.44169,0.05853,Oei et al. 2023,Oei et al. 2023
33,ILTJ021010.37+173903.0,32.538493,17.65645858081,1.89475,0.29462,3.9597,0.886,0.2,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8245,ILTJ021320.12+172333.1,33.3343829,17.39246860349,1.25927,0.15078,2.7174,0.8,0.045,ML (this work),ML (this work)
9662,,40.5115004251,16.11821193104,1.736,0.091,6.2,0.30659,0.02076,Oei et al. 2023,Oei et al. 2023
10101,,41.28541529943,18.70481428751,1.248,0.134,6.4,0.18835,0.02467,Oei et al. 2023,Oei et al. 2023
9874,,37.090862,17.773199,1.47,0.22,7.2,0.1996,0.0,Oei et al. 2023,Oei et al. 2023
7511,ILTJ015931.90+165600.8,29.8855077,16.93227578544,0.78549,0.06308,1.5058,1.585,0.503,ML (this work),ML (this work)
2095,ILTJ015936.00+170605.0,29.9000309,17.10246332938,0.71235,0.08877,1.477,0.911,0.082,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7378,ILTJ015542.81+165712.4,28.9283424,16.95563327161,0.72138,0.09742,1.6111,0.727,0.066,ML (this work),ML (this work)
1579,ILTJ014907.39+171812.5,27.2781599,17.30234273376,0.90034,0.09242,1.7393,1.339,0.505,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3243,ILTJ015139.85+175629.5,27.91638428747,17.94133434196,1.51706,0.1967,3.2978,0.783,0.066,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
486,ILTJ015420.14+174841.6,28.5845552,17.81191497166,0.87157,0.10888,1.9138,0.761,0.051,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9359,,28.540139,17.933124,2.616,0.172,9.5,0.2992,0.0272,Oei et al. 2023,Oei et al. 2023
6184,ILTJ015133.37+182321.1,27.883732,18.38777825223,1.07106,0.13008,2.0939,1.206,0.332,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
6473,ILTJ015056.56+184315.2,27.73387271396,18.7241144742,0.9056,0.17492,2.6891,0.409,0.062,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9531,,27.61961,18.812036,1.992,0.065,4.6,0.66812,0.0002,Oei et al. 2023,Oei et al. 2023
1803,ILTJ015314.39+190732.1,28.313881,19.12872391198,1.48845,0.22144,2.9885,1.038,0.394,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9906,,31.651021,17.925405,1.446,0.185,4.4,0.3924,0.0765,Oei et al. 2023,Oei et al. 2023
5886,ILTJ020621.27+180405.2,31.5898289,18.06469096928,0.73463,0.11468,1.6314,0.738,0.116,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
528,ILTJ020122.56+175423.4,30.34299,17.90792541893,0.78023,0.10622,1.601,0.947,0.147,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1692,ILTJ020213.13+182045.4,30.5547555595,18.34506089165,1.02986,0.13941,2.3878,0.662,0.054,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8007,ILTJ020430.39+191402.4,31.1361212,19.22907182271,0.78255,0.13767,3.9714,0.191,0.017,ML (this work),ML (this work)
789,ILTJ021127.53+185316.6,32.860122,18.8869689142,0.96332,0.17669,2.2569,0.646,0.133,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7867,ILTJ020818.03+185744.8,32.0767743,18.95752491619,0.76607,0.1134,2.4751,0.357,0.025,ML (this work),ML (this work)
3494,ILTJ021401.69+192547.8,33.508967,19.43111453485,0.73188,0.12479,1.9158,0.512,0.068,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
899,ILTJ020742.18+195045.1,31.927171,19.84652938479,0.9574,0.11582,2.0014,0.885,0.063,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1790,ILTJ020958.94+202024.7,32.4952718901,20.34371051253,0.90766,0.10715,1.8087,1.077,0.106,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1784,ILTJ020833.41+201935.9,32.13599798857,20.32264110524,1.40849,0.60259,3.9068,0.46,0.364,RGZ (Hardcastle et al. 2023),Oei et al. 2023
8697,ILTJ015808.74+184440.1,29.5357271,18.7441567751,0.76786,0.11213,1.7792,0.663,0.072,ML (this work),ML (this work)
2740,ILTJ015935.87+190102.1,29.8984029904,19.01700976382,1.45346,0.18367,3.0811,0.845,0.071,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
