RA,DEC
164.203577,49.563235
165.220115,54.123796
166.72719,49.275438
166.575624,49.333456
162.829068,55.857275
166.576359,49.332436
165.058925,50.015298
165.220115,54.101368
163.497245,55.677211
166.701956,53.659687
164.358583,49.48479
165.515339,49.871471
166.387627,52.853388
165.052557,56.286282
166.520091,55.455435
164.510603,49.607112
166.259648,48.167013
166.707621,48.96508
161.947291,55.914974
165.81543,48.888413
166.616308,54.924045
164.522767,50.38982
164.203577,49.563235
165.950514,55.585028
166.270633,48.010006
164.403856,55.852801
165.323084,53.849255
163.961818,54.583903
165.248983,55.343341
166.55638,48.963261
166.379109,56.184633
163.973082,53.74385
164.012224,54.215038
165.514813,49.874513
166.560046,48.919226
166.711539,49.95381
162.315889,56.022095
166.660229,50.714462
162.315889,56.022095
163.871728,55.624209
162.642405,54.060732
166.559974,49.254928
166.387627,52.853388
163.961818,54.583903
163.769543,55.805644
165.826307,53.660642
165.066631,50.022143
165.941915,50.549935
162.71912,53.589098
164.773417,55.87387
165.220115,54.103598
166.202122,52.38655
166.294861,54.690587
166.689109,48.904122
166.037802,49.218556
166.833136,50.816188
166.300659,54.247337
162.933017,56.292153
166.611663,51.28883
165.150047,50.462577
166.605991,48.711087
166.261392,47.380598
163.199721,54.403688
163.0168,55.053165
162.975606,55.394213
165.408909,50.831412
164.284781,49.244778
163.60621,54.414959
164.012224,54.215038
166.270633,48.010006
163.836977,53.891173
162.63977,55.34328
165.821185,48.888413
166.417169,55.730089
166.757908,51.628127
166.404186,54.100193
166.007547,50.775802
162.946807,54.964543
162.829068,55.857275
165.55794,55.05375
165.945179,55.695023
161.726063,54.802973
164.358583,49.48479
165.933767,50.90007
165.938695,49.477005
165.409773,54.137481
164.510603,49.607112
165.971944,54.65498
165.819999,48.890185
162.946807,54.964543
164.012224,54.215038
166.203005,52.384393
163.369162,55.026736
162.642405,54.060732
165.937701,49.475952
164.509839,50.591453
163.375398,54.797071
163.110758,55.541807
165.49135,56.207489
166.404186,54.100193
164.509839,50.591453
166.379109,56.184633
163.104881,55.542346
166.080144,48.644769
164.773417,55.87387
166.707621,48.96508
165.786703,55.236154
166.607279,51.286245
166.259648,48.167013
164.834639,54.048543
166.259648,48.167013
164.113721,53.443754
163.60621,54.414959
165.220115,54.121903
165.131855,49.635588
166.543545,48.990069
164.416018,56.317241
165.403701,50.833168
166.163837,48.801752
165.513921,49.882204
165.124356,49.642301
165.299242,49.267432
162.63677,55.345285
165.55794,55.05375
166.361227,51.168956
165.772261,56.466374
165.323084,53.849255
164.403856,55.852801
163.375398,54.797071
162.975606,55.394213
166.200537,50.38478
161.816433,53.654677
163.961818,54.583903
164.645398,54.011458
164.973185,50.713685
166.393208,48.996399
166.770773,51.376816
161.811513,55.764567
164.403856,55.852801
166.680502,49.788902
166.132902,53.644659
164.391239,55.8391
165.367625,56.33379
162.975606,55.394213
166.379109,56.184633
165.056988,48.805294
164.358502,49.484792
165.942531,50.552033
166.543545,48.990069
166.707621,48.96508
163.973082,53.743838
162.71912,53.589098
162.975606,55.394213
164.340107,55.821068
164.773417,55.87387
162.934655,56.293486
166.83523,50.816188
166.206277,50.385506
166.259648,48.167013
165.786703,55.236154
165.406241,54.137481
166.613033,51.292709
166.660229,50.714462
164.977702,50.713131
166.560046,48.918658
165.51558,49.866934
164.113721,53.443754
163.868756,55.625781
166.660229,50.714462
164.310198,54.247272
165.950514,55.585028
166.404186,54.100193
161.816433,53.654677
165.146436,49.628975
166.77469,51.378034
164.012224,54.215038
165.047809,55.119261
164.282611,49.53308
161.816433,53.654677
165.664404,48.430418
164.51902,50.38982
166.300659,54.247337
166.007547,50.775802
165.821185,48.888413
163.199721,54.403688
166.805868,48.561853
165.624054,53.718458
161.943998,55.914974
164.403856,55.852801
166.393208,48.996399
165.426473,53.862747
164.310198,54.247272
165.772261,56.466374
166.689109,48.904122
166.477583,55.458139
166.56859,48.26791
166.361227,51.168956
166.163837,48.801752
166.680502,49.788902
173.000575,55.551471
234.44638,55.399223
236.00924,54.459358
237.31202,55.690284
234.670545,54.560016
212.504917,50.484426
175.565662,53.586331
173.212917,54.175466
212.803553,48.981414
236.553754,54.5729
173.101063,54.513713
234.709029,54.993195
173.88454,55.321654
236.553754,54.5729
171.717844,54.43346
211.644429,49.8524
238.398351,54.73737
174.321167,54.990765
212.138315,48.858679
171.998899,54.949026
175.542951,55.322276
173.456058,54.459375
171.490972,53.950523
212.370066,49.028663
235.98783,56.340889
211.619555,51.178231
238.725657,53.986606
173.669911,54.406724
236.142704,54.914841
175.541262,55.450515
173.840258,53.837471
237.857538,53.805511
172.71112,54.962242
173.571507,55.014601
173.92196,55.059562
211.900735,48.744976
175.138094,54.020439
174.149254,55.943508
171.61609,55.912626
